basin_id,country,country_iso3,climate_zone,rainfall_mm,avg_temp_c,avg_slope_deg,soil_type,ndvi,risk_quantity,risk_quality,regulatory_risk,water_rights,risk_driver,historical_outcome
BSN-1000,USA,USA,Mediterranean,456.9,10.2,1.1,Loam,0.65,2.7,2.3,2.1,Restricted,low_materiality,
BSN-1001,Canada,CAN,Wet,1810.0,12.2,4.5,Peat,0.89,3.2,3.1,2.4,Restricted,water_quality|water_quantity,
BSN-1002,UK,GBR,Wet,948.7,11.8,6.4,Clay,0.65,2.4,2.2,2.4,Locked,erosion,
BSN-1003,USA,USA,Mediterranean,887.2,12.8,1.3,Loam,0.42,1.4,1.0,2.8,Restricted,low_materiality,
BSN-1004,Chile,CHL,Arid,24.7,27.0,2.6,Rock,0.16,4.1,1.0,2.5,Restricted,water_quantity|land_degradation,
BSN-1005,Australia,,Arid,82.0,23.6,2.7,Rock,0.05,4.7,3.0,2.5,Locked,water_quality|water_quantity|land_degradation,
BSN-1006,Australia,,Arid,59.0,18.2,8.0,Rock,0.04,4.2,1.2,2.7,Restricted,water_quantity|land_degradation|erosion,
BSN-1007,Canada,CAN,Wet,1610.5,1.7,9.6,Clay,0.78,3.3,2.7,2.5,Restricted,water_quantity|erosion,0.0
BSN-1008,USA,USA,Mediterranean,644.7,17.0,5.1,Clay,0.66,1.4,3.0,3.6,Locked,water_quality|governance_risk,
BSN-1009,Chile,CHL,Wet,1335.7,11.2,3.2,Peat,0.85,2.0,1.7,2.9,Available,low_materiality,
BSN-1010,Chile,CHL,Arid,89.5,21.4,3.1,Sand,0.07,3.4,3.5,1.8,Available,water_quality|water_quantity|land_degradation,
BSN-1011,UK,GBR,Wet,1076.8,6.6,15.0,Clay,0.84,2.0,3.7,2.2,Available,water_quality|erosion,
BSN-1012,UK,GBR,Wet,1079.4,11.6,8.7,Loam,0.75,1.2,2.0,2.0,Restricted,erosion,
BSN-1013,Spain,,Mediterranean,626.9,17.4,1.6,Clay,0.52,1.2,2.4,1.7,Restricted,low_materiality,
BSN-1014,Australia,,Arid,33.9,21.5,2.8,Rock,0.06,4.7,3.2,2.8,Restricted,water_quality|water_quantity|land_degradation,
BSN-1015,USA,USA,Arid,34.2,20.1,2.7,Sand,0.01,3.6,3.5,3.1,Restricted,water_quality|water_quantity|governance_risk|land_degradation,0.0
BSN-1016,USA,USA,Mediterranean,664.2,17.6,1.1,Loam,0.41,2.3,3.1,3.4,Available,water_quality|governance_risk,
BSN-1017,USA,USA,Mediterranean,635.8,11.9,1.4,Silt,0.44,1.5,2.5,3.6,Restricted,governance_risk,
BSN-1018,USA,USA,Mediterranean,563.1,10.6,1.7,Loam,0.62,2.6,5.0,2.6,Restricted,water_quality,
BSN-1019,Italy,ITA,Mediterranean,572.3,13.2,1.5,Loam,0.54,1.9,5.0,1.5,Restricted,water_quality,
BSN-1020,Chile,CHL,Mediterranean,762.7,11.7,1.3,Loam,0.43,1.6,3.3,2.6,Locked,water_quality,
BSN-1021,Australia,,Arid,48.1,19.0,2.5,Rock,0.18,3.9,1.8,3.2,Restricted,water_quantity|governance_risk|land_degradation,
BSN-1022,Chile,CHL,Mediterranean,754.4,14.6,0.6,Loam,0.52,1.0,2.3,2.3,Restricted,low_materiality,1.0
BSN-1023,Italy,ITA,Mediterranean,770.2,10.8,3.3,Loam,0.58,3.8,1.9,2.5,Restricted,water_quantity,
BSN-1024,Spain,,Mediterranean,438.8,9.4,1.3,Clay,0.49,5.0,2.5,1.0,Restricted,water_quantity,
BSN-1025,Chile,CHL,Wet,1006.1,15.3,2.8,Clay,0.73,1.4,3.5,2.9,Restricted,water_quality,
BSN-1026,Chile,CHL,Arid,29.2,21.6,2.5,Sand,0.03,4.3,3.1,2.7,Available,water_quality|water_quantity|land_degradation,0.0
BSN-1027,Spain,,Mediterranean,577.4,11.1,2.5,Clay,0.47,4.1,3.0,2.7,Restricted,water_quality|water_quantity,1.0
BSN-1028,Spain,,Mediterranean,663.6,9.5,1.3,Clay,0.68,1.0,1.5,1.8,Restricted,low_materiality,
BSN-1029,USA,USA,Arid,70.9,20.3,0.7,Sand,0.11,3.8,3.2,1.6,Restricted,water_quality|water_quantity|land_degradation,
BSN-1030,Italy,ITA,Mediterranean,637.6,16.2,2.3,Clay,0.6,3.1,2.5,1.5,Restricted,water_quantity,
BSN-1031,Chile,CHL,Arid,43.8,33.7,7.1,Sand,0.04,5.0,2.5,2.4,Available,water_quantity|land_degradation|erosion,
BSN-1032,Chile,CHL,Arid,4.9,13.6,7.2,Sand,0.15,4.2,3.1,2.2,Available,water_quality|water_quantity|land_degradation|erosion,
BSN-1033,Canada,CAN,Wet,1313.1,9.9,6.2,Clay,0.69,3.5,3.6,1.9,Restricted,water_quality|water_quantity|erosion,
BSN-1034,Canada,CAN,Wet,474.1,9.7,9.1,Clay,0.78,2.4,4.4,1.7,Restricted,water_quality|erosion,
BSN-1035,Chile,CHL,Wet,1900.0,10.6,5.3,Loam,0.82,2.1,2.2,2.8,Locked,low_materiality,
BSN-1036,USA,USA,Mediterranean,393.1,19.8,1.3,Silt,0.7,2.4,2.6,2.0,Available,low_materiality,
BSN-1037,Chile,CHL,Arid,67.5,24.2,3.3,Sand,0.08,4.1,2.3,2.4,Locked,water_quantity|land_degradation,
BSN-1038,Italy,ITA,Mediterranean,553.8,15.6,2.2,Clay,0.47,1.3,2.9,3.3,Restricted,governance_risk,
BSN-1039,Spain,,Mediterranean,724.4,13.2,0.2,Clay,0.69,2.4,1.3,3.5,Restricted,governance_risk,
BSN-1040,USA,USA,Arid,60.1,28.5,2.9,Sand,0.11,3.7,2.8,1.6,Restricted,water_quantity|land_degradation,
BSN-1041,Spain,,Mediterranean,489.2,17.6,0.6,Loam,0.42,2.1,2.2,3.4,Available,governance_risk,
BSN-1042,USA,USA,Arid,49.7,22.9,6.2,Sand,0.19,4.4,3.1,3.4,Restricted,water_quality|water_quantity|governance_risk|land_degradation|erosion,
BSN-1043,Canada,CAN,Wet,1455.3,9.6,5.1,Clay,0.79,4.5,3.5,1.8,Restricted,water_quality|water_quantity,
BSN-1044,Spain,,Mediterranean,610.3,23.0,0.8,Silt,0.55,3.5,2.7,1.7,Restricted,water_quantity,
BSN-1045,Chile,CHL,Mediterranean,785.3,12.7,2.0,Silt,0.66,1.4,3.7,1.6,Available,water_quality,
BSN-1046,Italy,ITA,Mediterranean,722.7,14.6,0.8,Loam,0.43,2.6,2.7,2.9,Restricted,low_materiality,1.0
BSN-1047,Italy,ITA,Mediterranean,565.7,10.0,2.2,Loam,0.4,1.0,3.5,2.5,Restricted,water_quality,
BSN-1048,Spain,,Mediterranean,632.4,12.2,0.8,Silt,0.42,1.0,1.6,2.3,Restricted,low_materiality,
BSN-1049,Australia,,Arid,0.0,23.3,3.8,Sand,0.0,4.5,3.2,2.7,Restricted,water_quality|water_quantity|land_degradation,
BSN-1050,Canada,CAN,Wet,1647.0,10.9,5.8,Clay,0.62,3.3,4.8,4.2,Restricted,water_quality|water_quantity|governance_risk,
BSN-1051,UK,GBR,Wet,822.0,8.2,6.5,Peat,0.77,1.5,3.3,2.2,Restricted,water_quality|erosion,
BSN-1052,Chile,CHL,Wet,1673.4,9.5,6.8,Loam,0.62,3.6,4.1,2.5,Available,water_quality|water_quantity|erosion,0.0
BSN-1053,Chile,CHL,Wet,1211.4,11.8,15.0,Peat,0.68,2.5,2.8,3.6,Available,governance_risk|erosion,
