project_id,metric_name,value,unit,year,baseline_available,monitoring_method,confidence_score
WWF-NBS-001,conflict_incidents_reduced,1.0,count/year,2024,no,incident_tracking,0.4
WWF-NBS-001,conflict_incidents_reduced,1.0,count/year,2025,no,incident_tracking,0.46
WWF-NBS-001,conflict_incidents_reduced,1.0,count/year,2026,no,incident_tracking,0.42
WWF-NBS-001,governance_score_improvement,3.84,score_points,2024,no,survey_assessment,0.39
WWF-NBS-001,governance_score_improvement,4.24,score_points,2025,no,survey_assessment,0.36
WWF-NBS-001,governance_score_improvement,4.23,score_points,2026,no,survey_assessment,0.59
WWF-NBS-001,stakeholders_engaged,37.0,count,2024,no,program_reporting,0.44
WWF-NBS-001,stakeholders_engaged,42.0,count,2025,no,program_reporting,0.4
WWF-NBS-001,stakeholders_engaged,41.0,count,2026,no,program_reporting,0.48
WWF-NBS-002,hectares_under_practice,7519.09,ha,2024,yes,farm_audits+remote_sensing,0.69
WWF-NBS-002,hectares_under_practice,7093.38,ha,2025,yes,farm_audits+remote_sensing,0.78
WWF-NBS-002,hectares_under_practice,7835.1,ha,2026,yes,farm_audits+remote_sensing,0.73
WWF-NBS-002,soil_carbon_increase_tons,5872.2,t/year,2024,no,soil_sampling+modeling,0.55
WWF-NBS-002,soil_carbon_increase_tons,5600.51,t/year,2025,no,soil_sampling+modeling,0.65
WWF-NBS-002,soil_carbon_increase_tons,5980.74,t/year,2026,no,soil_sampling+modeling,0.55
WWF-NBS-002,water_use_efficiency_gain,7.51,percent,2024,yes,farm_records+modeling,0.7
WWF-NBS-002,water_use_efficiency_gain,8.11,percent,2025,yes,farm_records+modeling,0.65
WWF-NBS-002,water_use_efficiency_gain,8.75,percent,2026,yes,farm_records+modeling,0.6
WWF-NBS-003,biodiversity_index_change,0.14,index_points,2024,no,biodiversity_surveys,0.5
WWF-NBS-003,biodiversity_index_change,0.14,index_points,2025,no,biodiversity_surveys,0.42
WWF-NBS-003,biodiversity_index_change,0.15,index_points,2026,no,biodiversity_surveys,0.42
WWF-NBS-003,hectares_restored,1054.18,ha,2024,yes,remote_sensing+field_surveys,0.45
WWF-NBS-003,hectares_restored,1147.02,ha,2025,yes,remote_sensing+field_surveys,0.55
WWF-NBS-003,hectares_restored,1102.07,ha,2026,yes,remote_sensing+field_surveys,0.5
WWF-NBS-003,kg_nitrogen_reduced,174689.17,kg/year,2024,no,water_quality_sampling,0.56
WWF-NBS-003,kg_nitrogen_reduced,171467.35,kg/year,2025,no,water_quality_sampling,0.44
WWF-NBS-003,kg_nitrogen_reduced,185373.03,kg/year,2026,no,water_quality_sampling,0.52
WWF-NBS-004,runoff_reduction_percent,17.45,percent,2024,yes,hydrology_modeling,0.61
WWF-NBS-004,runoff_reduction_percent,18.43,percent,2025,yes,hydrology_modeling,0.59
WWF-NBS-004,runoff_reduction_percent,18.93,percent,2026,yes,hydrology_modeling,0.78
WWF-NBS-004,sediment_tons_avoided,1480.94,t/year,2024,yes,erosion_modeling+field_checks,0.56
WWF-NBS-004,sediment_tons_avoided,1374.44,t/year,2025,yes,erosion_modeling+field_checks,0.68
WWF-NBS-004,sediment_tons_avoided,1616.36,t/year,2026,yes,erosion_modeling+field_checks,0.78
WWF-NBS-004,soil_health_score_change,4.08,score_points,2024,no,soil_sampling,0.58
WWF-NBS-004,soil_health_score_change,4.24,score_points,2025,no,soil_sampling,0.69
WWF-NBS-004,soil_health_score_change,4.36,score_points,2026,no,soil_sampling,0.74
WWF-NBS-005,compliance_rate_percent,4.02,percent,2024,yes,audit_reporting,0.83
WWF-NBS-005,compliance_rate_percent,4.16,percent,2025,yes,audit_reporting,0.77
WWF-NBS-005,compliance_rate_percent,4.56,percent,2026,yes,audit_reporting,0.82
WWF-NBS-005,conflict_incidents_reduced,4.0,count/year,2024,no,incident_tracking,0.75
WWF-NBS-005,conflict_incidents_reduced,4.0,count/year,2025,no,incident_tracking,0.78
WWF-NBS-005,conflict_incidents_reduced,4.0,count/year,2026,no,incident_tracking,0.86
WWF-NBS-005,governance_score_improvement,3.98,score_points,2024,no,survey_assessment,0.8
WWF-NBS-005,governance_score_improvement,3.86,score_points,2025,no,survey_assessment,0.86
WWF-NBS-005,governance_score_improvement,3.99,score_points,2026,no,survey_assessment,0.83
WWF-NBS-006,compliance_rate_percent,9.1,percent,2024,no,audit_reporting,0.81
